tx_gain_db,ser_64qam_mf,ser_256qam_mf
-50,0.961,0.935
-49,0.813333,0.902333
-48,0.798333,0.904667
-47,0.639,0.889333
-46,0.576667,0.841667
-45,0.610667,0.808667
-44,0.493667,0.78
-43,0.399,0.770333
-42,0.401333,0.686
-41,0.255667,0.653667
-40,0.178,0.559333
-39,0.102333,0.52
-38,0.048667,0.463667
-37,0.029667,0.383
-36,0.028333,0.284667
-35,0.012333,0.184333
-34,0.003,0.213
-33,0.001,0.166333
-32,0.003333,0.133667
-31,0.021,0.146333
-30,0.004,0.073
-29,0.0,0.067333
-28,0.0,0.058333
-27,0.0,0.022333
-26,0.0,0.013
-25,0.0,0.03
