tx_gain_db,ser_64qam_rc_no_mf,ser_256qam_rc_no_mf
-50,0.9780000000000001,0.993
-49,0.9383333333333334,0.9956666666666667
-48,0.9796666666666667,0.9899999999999999
-47,0.973,0.9826666666666667
-46,0.9156666666666666,0.9846666666666666
-45,0.9316666666666666,0.9946666666666667
-44,0.9700000000000001,0.9540000000000001
-43,0.8146666666666667,0.9503333333333334
-42,0.836,0.9863333333333334
-41,0.6626666666666666,0.9369999999999999
-40,0.621,0.9326666666666666
-39,0.622,0.88
-38,0.47500000000000003,0.8536666666666667
-37,0.41733333333333333,0.8330000000000001
-36,0.3466666666666667,0.8023333333333333
-35,0.2953333333333333,0.8426666666666667
-34,0.24433333333333332,0.7313333333333333
-33,0.16466666666666666,0.6683333333333333
-32,0.09666666666666668,0.5946666666666666
-31,0.07833333333333335,0.5459999999999999
-30,0.050333333333333334,0.5343333333333332
-29,0.02333333333333333,0.43966666666666665
-28,0.010666666666666666,0.3673333333333333
-27,0.007666666666666666,0.289
-26,0.005333333333333333,0.235
-25,0.0016666666666666668,0.17200000000000001
